Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,solar,PV,electricity,2035,0.23460897000000003
EJ,Reference,Pakistan,solar,PV,electricity,2040,0.39272397000000003
EJ,Reference,Pakistan,solar,PV,electricity,2045,0.57958997
EJ,Reference,Pakistan,solar,PV,electricity,2050,0.7354478999999999
EJ,Reference,Pakistan,solar,PV,electricity,2055,0.8187156999999999
EJ,Reference,Pakistan,solar,PV,electricity,2060,0.9148000000000001
EJ,Reference,Pakistan,solar,PV,electricity,2065,1.0388719999999998
EJ,Reference,Pakistan,solar,PV,electricity,2070,1.1541830000000002
EJ,Reference,Pakistan,solar,PV,electricity,2075,1.293366
EJ,Reference,Pakistan,solar,PV,electricity,2080,1.454318
EJ,Reference,Pakistan,solar,PV,electricity,2085,1.647357
EJ,Reference,Pakistan,solar,PV,electricity,2090,1.792243
EJ,Reference,Pakistan,solar,PV,electricity,2095,1.904967
EJ,Reference,Pakistan,solar,PV,electricity,2100,1.977984
EJ,Reference,Pakistan,solar,PV_storage,electricity,2025,2.4772e-6
EJ,Reference,Pakistan,solar,PV_storage,electricity,2030,4.58575e-5
EJ,Reference,Pakistan,solar,PV_storage,electricity,2035,1.960045e-4
EJ,Reference,Pakistan,solar,PV_storage,electricity,2040,7.544025e-4
EJ,Reference,Pakistan,solar,PV_storage,electricity,2045,0.0020377725
EJ,Reference,Pakistan,solar,PV_storage,electricity,2050,0.0039071525
EJ,Reference,Pakistan,solar,PV_storage,electricity,2055,0.0057605853
EJ,Reference,Pakistan,solar,PV_storage,electricity,2060,0.009648595
EJ,Reference,Pakistan,solar,PV_storage,electricity,2065,0.014706048
EJ,Reference,Pakistan,solar,PV_storage,electricity,2070,0.02040194
EJ,Reference,Pakistan,solar,PV_storage,electricity,2075,0.026243209999999996
EJ,Reference,Pakistan,solar,PV_storage,electricity,2080,0.03158581
EJ,Reference,Pakistan,solar,PV_storage,electricity,2085,0.03681188
EJ,Reference,Pakistan,solar,PV_storage,electricity,2090,0.04085336
EJ,Reference,Pakistan,solar,PV_storage,electricity,2095,0.04340174
EJ,Reference,Pakistan,solar,PV_storage,electricity,2100,0.044564469999999995
EJ,Reference,Pakistan,wind,wind,electricity,2015,0.00282991
